id_industry;id_sub_industry;name_sub_industry
15;547;Автозапчасти, шины (розничная торговля)
15;545;Автокомпоненты, запчасти (производство)
15;546;Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)
15;543;Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)
15;542;Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)
15;544;Розничная торговля автомобилями (дилерский центр)
15;548;Техническое обслуживание, ремонт автомобилей
15;549;Финансовые услуги (кэптивные банки и лизинговые компании)
50;527;Гостиница
50;529;Кейтеринг (выездное обслуживание)
50;528;Ресторан, общественное питание, фаст-фуд
36;403;Государственные организации
45;536;Добыча и обогащение минерального сырья (соль, сера, глинозем), разработка карьеров (песок, глина, камень), добыча торфа
45;535;Добыча и обогащение руд черных, цветных, драгоценных, благородных, редких металлов
45;534;Добыча и обогащение угля
45;537;Инженерно-изыскательские, гидрогеологические, геологоразведочные работы
51;671;Благоустройство и уборка территорий и зданий
51;667;Вентиляция и кондиционирование (монтаж, сервис, ремонт)
51;668;Водоснабжение и канализация
51;669;Лифтовое хозяйство (монтаж, сервис, ремонт)
51;670;Обеспечение пожарной безопасности, молниезащиты
51;672;Ремонт зданий и сооружений
51;673;Слаботочные сети (монтаж, сервис, ремонт)
51;674;Утилизация бытовых отходов
51;675;Энергоснабжение
7;541;Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)
7;538;Интернет-провайдер
7;540;Разработка программного обеспечения
7;539;Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг
52;651;Архив, библиотека, искусствоведение
52;652;Ботанический сад, зоопарк, заповедник
52;653;Музей, галерея, театр
19;620;Деревообработка (производство)
19;621;Продукция деревообработки (продвижение, оптовая торговля)
19;623;Столярно-строительные изделия (продвижение, оптовая торговля)
19;622;Столярно-строительные изделия (производство)
19;625;Целлюлозно-бумажная продукция (продвижение, оптовая торговля)
19;624;Целлюлозно-бумажное производство
48;676;Аптека, оптика
48;677;Ветеринарная аптека
48;678;Ветеринарная деятельность
48;679;Клинические исследования
48;680;Лаборатория, исследовательский центр
48;681;Лечебно-профилактические учреждения
48;682;Учреждение соц.помощи и защиты
48;683;Фармацевтическая продукция (продвижение, оптовая торговля)
48;684;Фармацевтическая продукция (производство)
24;638;Драгоценные, благородные и редкие металлы (продвижение, оптовая торговля)
24;637;Драгоценные, благородные и редкие металлы (производство)
24;640;Металлические изделия, металлоконструкции (продвижение, оптовая торговля)
24;639;Металлические изделия, металлоконструкции (производство)
24;636;Продукция цветной металлургии (продвижение, оптовая торговля)
